full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target
Fakta-fakta DAY6 yang Bakal Konser di Tiga Kota di Indonesia https://t.co/H8KAiLzktM #TempoSeleb,1.83850946290008E+018,2024-09-24 09:23:08+00:00,tempodotco,18129942,in,Indonesia,0,0,0,1,https://x.com/tempodotco/status/1838509462900085114,,0,tempodotco,
temen kantor w yang suka day6 dan jarang ngetweet mau ngasih freebies pas konser terus w bilang biasanya nanti yang terima freebies suka ngajak mutualan di twitter terus dia bilang kalo gw kasih LinkedIn gw aja boleh ga? nanti ngobrolnya di LinkedIn ,1.83852528839051E+018,2024-09-24 10:26:01+00:00,bandeusshi,8.45280822189948E+017,in,,762,94,1597,16876,https://x.com/bandeusshi/status/1838525288390512761,,0,bandeusshi,
halooo temen-temen myday kalo masih bingung mau makan apa di konser surabaya nanti bisa cus pesen di aku yaah jangan sampai kelaparan #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Surabaya,1.83857931039713E+018,2024-09-24 14:00:41+00:00,cachoonne,8.77737074174024E+017,in,24,0,0,0,0,https://x.com/cachoonne/status/1838579310397149310,,0,cachoonne,
ini detail dan spesifikasi contoh desainnya yaa form pesan: https://t.co/ynaJqaAett #DAY6 #emoney #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_Indonesia https://t.co/t0MV2gf22F,1.83887415341347E+018,2024-09-25 09:32:17+00:00,madsimad,44855315,in,,0,0,0,0,https://x.com/madsimad/status/1838874153413489100,,0,madsimad,
yang bikin tiket konser DAY6 pantas untuk dibeli: 1. musikalitas DAY6. sensasi nonton penampilan DAY6 secara langsung gak akan tergantikan dengan rekaman video/foto 2. visualnya park sungjin. gak bisa ketangkap kamera soalnya harus liat langsung https://t.co/WxTWoU7Q2g,1.838901364443E+018,2024-09-25 11:20:25+00:00,youngcyow,1.1311974457051E+018,in,,25,5,152,517,https://x.com/youngcyow/status/1838901364443005121,,0,youngcyow,
FREEBIES FOREVER YOUNG SURABAYA by @hi_yeppeosseo Hand Mirror &amp; Pas foto. ️ limited quantity ️ Oct. 16 2024 JAWA POS ARENA SBY Kalau ketemu sapa aja yaa Maafkan gabisa buat template bagus #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_SURABAYA https://t.co/ziiiSwax5k,1.83952648825492E+018,2024-09-27 04:44:26+00:00,hi_yeppeosseo,545770832,in,97's,5,37,190,277,https://x.com/hi_yeppeosseo/status/1839526488254939466,hi_yeppeosseo,1,hi_yeppeosseo,hi_yeppeosseo
Jelang Konser di 3 Kota DAY6 Beri Pantun untuk My Day Indonesia https://t.co/W17K1sp0sK https://t.co/lFU5vT1ucB,1.83993572600964E+018,2024-09-28 07:50:36+00:00,kompascom,23343960,in,Jakarta,1,0,1,2,https://x.com/kompascom/status/1839935726009655768,,0,kompascom,
@asaanamii Hai aku Sungjin dari Day6 yang bentar lagi bakalan konser ke Indonesia di 3kota ,1.83999318206461E+018,2024-09-28 11:38:54+00:00,Harutonih,1.71014362387732E+018,in,Royale Romain — Ziyana — 4NS0S,1,0,0,0,https://x.com/Harutonih/status/1839993182064611431,asaanamii,1,Harutonih,asaanamii
Tiket Konser di Tiga Kota di Indonesia Sold Out Member DAY6 Kasih Gombalan Maut Buat MYDAY https://t.co/rr4QGB3AsB,1.84003274269803E+018,2024-09-28 14:16:06+00:00,VIVAcoid,41730943,in,,0,0,2,1,https://x.com/VIVAcoid/status/1840032742698037661,,0,VIVAcoid,
Hai hai yg dari denpasar adakah yg nonton konsernya day6 di nusa dua oktober nanti?? Sapa tau bisa barengan biar ada temen #day6_forever_young_indonesia #day6_forever_young_bali,1.84030374018593E+018,2024-09-29 08:12:57+00:00,_sDew6,121673361,in,"Denpasar, Bali",0,1,0,1,https://x.com/_sDew6/status/1840303740185940230,,0,_sDew6,
