full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,target,source
Belakangan ini aku ngerasa udh kek lebih yaudhlah sm konser ntar mei itu ya walupun msh nyesek tp udh mulai damai udh mulai ngehype dan dengerin lagu day6 lagi tp tetep aja klo ada pilihan refund atau balik ke JIS bakal lebih baik. @mecimapro u really ruined my first concert,1.90700399470859E+018,2025-04-01 09:35:57+00:00,@minjineee8,892533853,in,,0,0,0,0,https://x.com/minjineee8/status/1907003994708595191,['mecimapro'],1,mecimapro,@minjineee8
Halo mecima @mecimapro jadi gimana konser day6 teh? #JusticeForMyDayIndonesia #MyDayBerserikat #MECIMANOTPRO #MECIMA_REVISESEATMAP #MECIMA_RETURNTOJIS #MECIMA_NOT_PROfessional,1.90721976892049E+018,2025-04-01 23:53:21+00:00,@ssinta18,2538626094,in,,0,0,0,0,https://x.com/ssinta18/status/1907219768920494232,['mecimapro'],1,mecimapro,@ssinta18
cim batal aja cim. baru pertama kali ini ngerasa ngga papaa ngga ketemu day6 soalnya bakal lebih baik buat semuanya. biar myday dapetin haknya lagi day6 istirahat trus kalian masih bisa memperbaiki nama kalian. nurut aja cim udah @mecimapro ,1.90724623397621E+018,2025-04-02 01:38:31+00:00,@Dalnimsswi,2392259078,in,,1,0,1,0,https://x.com/Dalnimsswi/status/1907246233976213735,['mecimapro'],1,mecimapro,@Dalnimsswi
Cim refund ato cancel aja @mecimapro Udah capekk weee Day6 juga capekk #JusticeForMyDayIndonesia #MECIMA_NOT_PROfessional,1.90739321986603E+018,2025-04-02 11:22:35+00:00,@susay_n,7.97794022429315E+017,in,,0,0,0,2,https://x.com/susay_n/status/1907393219866038419,['mecimapro'],1,mecimapro,@susay_n
bikin opsi repricing seharga festivalan dong... @mecimapro msh pengen nonton day6 jujur,1.90743671942486E+018,2025-04-02 14:15:27+00:00,@sommersoultice,1.84642039760198E+018,in,,0,1,0,0,https://x.com/sommersoultice/status/1907436719424868561,['mecimapro'],1,mecimapro,@sommersoultice
Yg kukhwatirkan sekarang adalah apakah refundnya bakal cepet dan no deposit??? @mecimapro awas aja ya kalo lama,1.90744168408827E+018,2025-04-02 14:35:10+00:00,@foxyi_nie,1.33555378190845E+018,in,,0,1,1,4,https://x.com/foxyi_nie/status/1907441684088279355,['mecimapro'],1,mecimapro,@foxyi_nie
kalau kmrn beli 2 tix terus mau direfund salah 1 aja bisa ga ya? @mecimapro krna 2tix itu seingetku kmrn order id nya sama #DAY6_3RD_WORLDTOUR #day6,1.90744241895546E+018,2025-04-02 14:38:05+00:00,@choinoona,1.13880146089895E+018,in,,0,0,1,0,https://x.com/choinoona/status/1907442418955469069,['mecimapro'],1,mecimapro,@choinoona
@dowoonatic @mecimapro KAWAL SAMPE TUNTASS ,1.90744360996591E+018,2025-04-02 14:42:49+00:00,@foxyi_nie,1.33555378190845E+018,in,,0,0,0,1,https://x.com/foxyi_nie/status/1907443609965912412,"['dowoonatic', 'mecimapro']",2,dowoonatic,@foxyi_nie
so hopefully @mecimapro jga mempertimbangkan case2 yang sepertiku ini biar kita yang dirugikan bisa tetap nonton tanpa perlu refund atau upgrade dan nambah lagi biayanya. Please kembalikan spark kami buat nonton konser Day6 sesuai dg yg kami inginkan #JusticeForMyDayIndonesia,1.90744670776555E+018,2025-04-02 14:55:08+00:00,@mydaylistory,1.68104587917489E+018,in,,0,0,0,0,https://x.com/mydaylistory/status/1907446707765559480,['mecimapro'],1,mecimapro,@mydaylistory
standard gw kalo day6 di outdoor tuh minimal gini cim. pertanyaannya lu bisa ga ntar? @mecimapro https://t.co/Y1pomVrUW8,1.90744920469342E+018,2025-04-02 15:05:03+00:00,@songil,62308645,in,,7,4,81,388,https://x.com/songil/status/1907449204693422521,['mecimapro'],1,mecimapro,@songil
mohon izin bapak/ibu @BPKN_RI untuk pemantauan refund dari tiketing day6 dari tgl 14 - 18 april 2025 agar berjalan dengan lancar dan cepat sesuai dengan tnc @mecimapro sertakan.,1.90764579904937E+018,2025-04-03 04:06:15+00:00,@xzlailnmf,1.84142961746035E+018,in,,0,0,0,0,https://x.com/xzlailnmf/status/1907645799049371858,"['BPKN_RI', 'mecimapro']",2,BPKN_RI,@xzlailnmf
mecima minimal itu form nama lengkap jelasin nama lengkap pemilik tiket atau pemilik akun @mecimapro jangan sampe perkara nama itu jadi gak jelas dana refund gua cim,1.90768084076064E+018,2025-04-03 06:25:30+00:00,@kariudonk,9.27040397771026E+017,in,,1,0,0,0,https://x.com/kariudonk/status/1907680840760648112,['mecimapro'],1,mecimapro,@kariudonk
Pliss nanya tiket konser day6 ada penjualan on the spot di hari H tgl 3 mei itu ga sih ? @mecimapro,1.90772938262778E+018,2025-04-03 09:38:23+00:00,@wendaesik,1478979781,in,,0,0,0,0,https://x.com/wendaesik/status/1907729382627787020,['mecimapro'],1,mecimapro,@wendaesik
haha gabisa tidur... first concert day6 gue berakhir sad ending dan gue harus letting go semua ini gara elu @mecimapro,1.90786309367543E+018,2025-04-03 18:29:42+00:00,@happy_withbbrie,1.59251212507058E+018,in,,0,0,0,0,https://x.com/happy_withbbrie/status/1907863093675438555,['mecimapro'],1,mecimapro,@happy_withbbrie
Memutuskan untuk refund DAY6 and already filled the refund form... Jangan lama lamain refundnya gue udah males berurusan sama kalian SUMPAAAAH @mecimapro,1.90800447573604E+018,2025-04-04 03:51:30+00:00,@sweetchaotics,1.18808796122664E+018,in,,0,0,0,0,https://x.com/sweetchaotics/status/1908004475736043587,['mecimapro'],1,mecimapro,@sweetchaotics
@wonpiri__ @mecimapro @wonpiri__ Hei @mecimapro apa sih ini? Ubah venue konser DAY6 dari JIS ke GBK Madya kapasitas turun drastis fans kecewa janji stadium concert nggak ditepati refund nggak ada bikin ribut aja! Kasih solusi dong jangan cuma diam. Fans udah susah payah nabung buat nonton eh,1.90802494734086E+018,2025-04-04 05:12:51+00:00,@grok,1.72066518318892E+018,in,,0,1,0,0,https://x.com/grok/status/1908024947340869933,"['wonpiri__', 'mecimapro', 'wonpiri__', 'mecimapro']",4,wonpiri__,@grok
@istiqqq_ @MalManMalMan @mecimapro MENYALA SISTAAA lu jual gw beli lagian oon juga akun itu kan refund itu kewajiban dan bukti tanggung jawab dari mcm karena venue berubah mau alasan apapun apalagi alesan agak aneh dan seatplan beda jauh macem day6 ,1.90835609282191E+018,2025-04-05 03:08:42+00:00,@tiramoree,129461990,in,,0,0,1,5,https://x.com/tiramoree/status/1908356092821913663,"['istiqqq_', 'MalManMalMan', 'mecimapro']",3,istiqqq_,@tiramoree
