full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target,remove_user,cleaning,case_folding,tokenisasi,normalisasi,negation_converted_text,stopword_removal,stemming,to_sentence,english,polarity,sentiment
Fakta-fakta DAY6 yang Bakal Konser di Tiga Kota di Indonesia https://t.co/H8KAiLzktM #TempoSeleb,1.83850946290008e+18,2024-09-24 09:23:08+00:00,tempodotco,18129942.0,in,Indonesia,0,0,0,1,https://x.com/tempodotco/status/1838509462900085114,['mecimapro'],0,tempodotco,mecimapro,Fakta-fakta DAY6 yang Bakal Konser di Tiga Kota di Indonesia https://t.co/H8KAiLzktM #TempoSeleb,Fakta fakta DAY yang Bakal Konser di Tiga Kota di Indonesia TempoSeleb,fakta fakta day yang bakal konser di tiga kota di indonesia temposeleb,"['fakta', 'fakta', 'day', 'yang', 'bakal', 'konser', 'di', 'tiga', 'kota', 'di', 'indonesia', 'temposeleb']","['fakta', 'fakta', 'day', 'yang', 'bakal', 'konser', 'di', 'tiga', 'kota', 'di', 'indonesia', 'temposeleb']","['fakta', 'fakta', 'day', 'yang', 'bakal', 'konser', 'di', 'tiga', 'kota', 'di', 'indonesia', 'temposeleb']","['fakta', 'fakta', 'day', 'yang', 'konser', 'kota', 'indonesia', 'temposeleb']","['fakta', 'fakta', 'day', 'yang', 'konser', 'kota', 'indonesia', 'temposeleb']",fakta fakta day yang konser kota indonesia temposeleb,Facts of Day that will concert in three cities in Indonesia Temposeleb,0.0,Negative
temen kantor w yang suka day6 dan jarang ngetweet mau ngasih freebies pas konser terus w bilang biasanya nanti yang terima freebies suka ngajak mutualan di twitter terus dia bilang kalo gw kasih LinkedIn gw aja boleh ga? nanti ngobrolnya di LinkedIn ,1.83852528839051e+18,2024-09-24 10:26:01+00:00,bandeusshi,8.45280822189948e+17,in,Indonesia,762,94,1597,16876,https://x.com/bandeusshi/status/1838525288390512761,['mecimapro'],0,bandeusshi,mecimapro,temen kantor w yang suka day6 dan jarang ngetweet mau ngasih freebies pas konser terus w bilang biasanya nanti yang terima freebies suka ngajak mutualan di twitter terus dia bilang kalo gw kasih LinkedIn gw aja boleh ga? nanti ngobrolnya di LinkedIn ,temen kantor w yang suka day dan jarang ngetweet mau ngasih freebies pas konser terus w bilang biasanya nanti yang terima freebies suka ngajak mutualan di twitter terus dia bilang kalo gw kasih LinkedIn gw aja boleh ga nanti ngobrolnya di LinkedIn ,temen kantor w yang suka day dan jarang ngetweet mau ngasih freebies pas konser terus w bilang biasanya nanti yang terima freebies suka ngajak mutualan di twitter terus dia bilang kalo gw kasih linkedin gw aja boleh ga nanti ngobrolnya di linkedin ,"['temen', 'kantor', 'w', 'yang', 'suka', 'day', 'dan', 'jarang', 'ngetweet', 'mau', 'ngasih', 'freebies', 'pas', 'konser', 'terus', 'w', 'bilang', 'biasanya', 'nanti', 'yang', 'terima', 'freebies', 'suka', 'ngajak', 'mutualan', 'di', 'twitter', 'terus', 'dia', 'bilang', 'kalo', 'gw', 'kasih', 'linkedin', 'gw', 'aja', 'boleh', 'ga', 'nanti', 'ngobrolnya', 'di', 'linkedin']","['teman', 'kantor', 'gue', 'yang', 'suka', 'day', 'dan', 'jarang', 'ngetweet', 'mau', 'mengasih', 'freebies', 'pas', 'konser', 'terus', 'gue', 'bilang', 'biasanya', 'nanti', 'yang', 'terima', 'freebies', 'suka', 'mengajak', 'mutualan', 'di', 'twitter', 'terus', 'dia', 'bilang', 'kalo', 'gue', 'kasih', 'linkedin', 'gue', 'saja', 'boleh', 'enggak', 'nanti', 'ngobrolnya', 'di', 'linkedin']","['teman', 'kantor', 'gue', 'yang', 'suka', 'day', 'dan', 'jarang', 'ngetweet', 'mau', 'mengasih', 'freebies', 'pas', 'konser', 'terus', 'gue', 'bilang', 'biasanya', 'nanti', 'yang', 'terima', 'freebies', 'suka', 'mengajak', 'mutualan', 'di', 'twitter', 'terus', 'dia', 'bilang', 'kalo', 'gue', 'kasih', 'linkedin', 'gue', 'saja', 'boleh', 'enggak_nanti', 'ngobrolnya', 'di', 'linkedin']","['teman', 'kantor', 'gue', 'yang', 'suka', 'day', 'jarang', 'ngetweet', 'mau', 'mengasih', 'freebies', 'pas', 'konser', 'gue', 'bilang', 'yang', 'terima', 'freebies', 'suka', 'mengajak', 'mutualan', 'twitter', 'bilang', 'gue', 'kasih', 'linkedin', 'gue', 'saja', 'enggak_nanti', 'ngobrolnya', 'linkedin']","['teman', 'kantor', 'gue', 'yang', 'suka', 'day', 'jarang', 'ngetweet', 'mau', 'mengasih', 'freebies', 'pas', 'konser', 'gue', 'bilang', 'yang', 'terima', 'freebies', 'suka', 'ajak', 'mutualan', 'twitter', 'bilang', 'gue', 'kasih', 'linkedin', 'gue', 'saja', 'enggak nanti', 'ngobrolnya', 'linkedin']",teman kantor gue yang suka day jarang ngetweet mau mengasih freebies pas konser gue bilang yang terima freebies suka ajak mutualan twitter bilang gue kasih linkedin gue saja enggak nanti ngobrolnya linkedin,"Friends of the office W who like to day and rarely tweet want to give freebies when the concert continues to say that usually later the one who receives freebies likes to invite quality on twitter and then he says if I give me LinkedIn, I may not later chat it on LinkedIn LinkedIn",0.09999999999999999,Positive
halooo temen-temen myday kalo masih bingung mau makan apa di konser surabaya nanti bisa cus pesen di aku yaah jangan sampai kelaparan #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Surabaya,1.83857931039713e+18,2024-09-24 14:00:41+00:00,cachoonne,8.77737074174024e+17,in,24,0,0,0,0,https://x.com/cachoonne/status/1838579310397149310,['mecimapro'],0,cachoonne,mecimapro,halooo temen-temen myday kalo masih bingung mau makan apa di konser surabaya nanti bisa cus pesen di aku yaah jangan sampai kelaparan #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Surabaya,haloo temen temen myday kalo masih bingung mau makan apa di konser surabaya nanti bisa cus pesen di aku yaah jangan sampai kelaparan DAY _FOREVER_YOUNG_Indonesia DAY _FOREVER_YOUNG_Surabaya,haloo temen temen myday kalo masih bingung mau makan apa di konser surabaya nanti bisa cus pesen di aku yaah jangan sampai kelaparan day _forever_young_indonesia day _forever_young_surabaya,"['haloo', 'temen', 'temen', 'myday', 'kalo', 'masih', 'bingung', 'mau', 'makan', 'apa', 'di', 'konser', 'surabaya', 'nanti', 'bisa', 'cus', 'pesen', 'di', 'aku', 'yaah', 'jangan', 'sampai', 'kelaparan', 'day', '_forever_young_indonesia', 'day', '_forever_young_surabaya']","['haloo', 'teman', 'teman', 'myday', 'kalo', 'masih', 'bingung', 'mau', 'makan', 'apa', 'di', 'konser', 'surabaya', 'nanti', 'bisa', 'cus', 'pesan', 'di', 'aku', 'ya', 'jangan', 'sampai', 'kelaparan', 'day', '_forever_young_indonesia', 'day', '_forever_young_surabaya']","['haloo', 'teman', 'teman', 'myday', 'kalo', 'masih', 'bingung', 'mau', 'makan', 'apa', 'di', 'konser', 'surabaya', 'nanti', 'bisa', 'cus', 'pesan', 'di', 'aku', 'ya', 'jangan_sampai', 'kelaparan', 'day', '_forever_young_indonesia', 'day', '_forever_young_surabaya']","['haloo', 'teman', 'teman', 'myday', 'bingung', 'mau', 'makan', 'konser', 'surabaya', 'cus', 'pesan', 'jangan_sampai', 'kelaparan', 'day', '_forever_young_indonesia', 'day', '_forever_young_surabaya']","['haloo', 'teman', 'teman', 'myday', 'bingung', 'mau', 'makan', 'konser', 'surabaya', 'cus', 'pesan', 'jangan sampai', 'lapar', 'day', 'forever young indonesia', 'day', 'forever young surabaya']",haloo teman teman myday bingung mau makan konser surabaya cus pesan jangan sampai lapar day forever young indonesia day forever young surabaya,"Hello, my friend MyDay, if you're still confused about what to eat at the Surabaya concert, you can order in me, don't starve to day _Forever_young_Indonesia Day _Forever_young_Surabaya",-0.4,Negative
ini detail dan spesifikasi contoh desainnya yaa form pesan: https://t.co/ynaJqaAett #DAY6 #emoney #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_Indonesia https://t.co/t0MV2gf22F,1.83887415341347e+18,2024-09-25 09:32:17+00:00,madsimad,44855315.0,in,Indonesia,0,0,0,0,https://x.com/madsimad/status/1838874153413489100,['mecimapro'],0,madsimad,mecimapro,ini detail dan spesifikasi contoh desainnya yaa form pesan: https://t.co/ynaJqaAett #DAY6 #emoney #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_Indonesia https://t.co/t0MV2gf22F,ini detail dan spesifikasi contoh desainnya yaa form pesan DAY emoney DAY _ RD_WORLDTOUR DAY _FOREVER_YOUNG_Indonesia ,ini detail dan spesifikasi contoh desainnya yaa form pesan day emoney day _ rd_worldtour day _forever_young_indonesia ,"['ini', 'detail', 'dan', 'spesifikasi', 'contoh', 'desainnya', 'yaa', 'form', 'pesan', 'day', 'emoney', 'day', '_', 'rd_worldtour', 'day', '_forever_young_indonesia']","['ini', 'detail', 'dan', 'spesifikasi', 'contoh', 'desainnya', 'ya', 'form', 'pesan', 'day', 'emoney', 'day', '_', 'rd_worldtour', 'day', '_forever_young_indonesia']","['ini', 'detail', 'dan', 'spesifikasi', 'contoh', 'desainnya', 'ya', 'form', 'pesan', 'day', 'emoney', 'day', '_', 'rd_worldtour', 'day', '_forever_young_indonesia']","['detail', 'spesifikasi', 'contoh', 'desainnya', 'form', 'pesan', 'day', 'emoney', 'day', '_', 'rd_worldtour', 'day', '_forever_young_indonesia']","['detail', 'spesifikasi', 'contoh', 'desain', 'form', 'pesan', 'day', 'emoney', 'day', '', 'rd worldtour', 'day', 'forever young indonesia']",detail spesifikasi contoh desain form pesan day emoney day  rd worldtour day forever young indonesia,"This is the details and specifications of the design example, the Order Day Emoney Day _ RD_WORLDTOUR DAY _FOREVER_YOUNG_Indonesia",0.0,Negative
yang bikin tiket konser DAY6 pantas untuk dibeli: 1. musikalitas DAY6. sensasi nonton penampilan DAY6 secara langsung gak akan tergantikan dengan rekaman video/foto 2. visualnya park sungjin. gak bisa ketangkap kamera soalnya harus liat langsung https://t.co/WxTWoU7Q2g,1.838901364443e+18,2024-09-25 11:20:25+00:00,youngcyow,1.1311974457051e+18,in,Indonesia,25,5,152,517,https://x.com/youngcyow/status/1838901364443005121,['mecimapro'],0,youngcyow,mecimapro,yang bikin tiket konser DAY6 pantas untuk dibeli: 1. musikalitas DAY6. sensasi nonton penampilan DAY6 secara langsung gak akan tergantikan dengan rekaman video/foto 2. visualnya park sungjin. gak bisa ketangkap kamera soalnya harus liat langsung https://t.co/WxTWoU7Q2g,yang bikin tiket konser DAY pantas untuk dibeli musikalitas DAY sensasi nonton penampilan DAY secara langsung gak akan tergantikan dengan rekaman video foto visualnya park sungjin gak bisa ketangkap kamera soalnya harus liat langsung ,yang bikin tiket konser day pantas untuk dibeli musikalitas day sensasi nonton penampilan day secara langsung gak akan tergantikan dengan rekaman video foto visualnya park sungjin gak bisa ketangkap kamera soalnya harus liat langsung ,"['yang', 'bikin', 'tiket', 'konser', 'day', 'pantas', 'untuk', 'dibeli', 'musikalitas', 'day', 'sensasi', 'nonton', 'penampilan', 'day', 'secara', 'langsung', 'gak', 'akan', 'tergantikan', 'dengan', 'rekaman', 'video', 'foto', 'visualnya', 'park', 'sungjin', 'gak', 'bisa', 'ketangkap', 'kamera', 'soalnya', 'harus', 'liat', 'langsung']","['yang', 'bikin', 'tiket', 'konser', 'day', 'pantas', 'untuk', 'dibeli', 'musikalitas', 'day', 'sensasi', 'menonton', 'penampilan', 'day', 'secara', 'langsung', 'enggak', 'akan', 'tergantikan', 'dengan', 'rekaman', 'video', 'foto', 'visualnya', 'park', 'sungjin', 'enggak', 'bisa', 'ketangkap', 'kamera', 'soalnya', 'harus', 'lihat', 'langsung']","['yang', 'bikin', 'tiket', 'konser', 'day', 'pantas', 'untuk', 'dibeli', 'musikalitas', 'day', 'sensasi', 'menonton', 'penampilan', 'day', 'secara', 'langsung', 'enggak_akan', 'tergantikan', 'dengan', 'rekaman', 'video', 'foto', 'visualnya', 'park', 'sungjin', 'enggak_bisa', 'ketangkap', 'kamera', 'soalnya', 'harus', 'lihat', 'langsung']","['yang', 'bikin', 'tiket', 'konser', 'day', 'dibeli', 'musikalitas', 'day', 'sensasi', 'menonton', 'penampilan', 'day', 'langsung', 'enggak_akan', 'tergantikan', 'rekaman', 'video', 'foto', 'visualnya', 'park', 'sungjin', 'enggak_bisa', 'ketangkap', 'kamera', 'lihat', 'langsung']","['yang', 'bikin', 'tiket', 'konser', 'day', 'beli', 'musikalitas', 'day', 'sensasi', 'tonton', 'tampil', 'day', 'langsung', 'enggak akan', 'ganti', 'rekam', 'video', 'foto', 'visual', 'park', 'sungjin', 'enggak bisa', 'tangkap', 'kamera', 'lihat', 'langsung']",yang bikin tiket konser day beli musikalitas day sensasi tonton tampil day langsung enggak akan ganti rekam video foto visual park sungjin enggak bisa tangkap kamera lihat langsung,What makes a day concert ticket deserves to be bought by Musikality Day Sensation to watch the appearance of Day directly will not be replaced by the recording of the visual photo photo Park Sungjin can't catch the camera because you have to see it directly,0.06666666666666667,Positive
FREEBIES FOREVER YOUNG SURABAYA by @hi_yeppeosseo Hand Mirror &amp; Pas foto. ️ limited quantity ️ Oct. 16 2024 JAWA POS ARENA SBY Kalau ketemu sapa aja yaa Maafkan gabisa buat template bagus #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_SURABAYA https://t.co/ziiiSwax5k,1.83952648825492e+18,2024-09-27 04:44:26+00:00,hi_yeppeosseo,545770832.0,in,97's,5,37,190,277,https://x.com/hi_yeppeosseo/status/1839526488254939466,hi_yeppeosseo,1,hi_yeppeosseo,hi_yeppeosseo,FREEBIES FOREVER YOUNG SURABAYA by  Hand Mirror &amp; Pas foto. ️ limited quantity ️ Oct. 16 2024 JAWA POS ARENA SBY Kalau ketemu sapa aja yaa Maafkan gabisa buat template bagus #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_SURABAYA https://t.co/ziiiSwax5k,FREEBIES FOREVER YOUNG SURABAYA by Hand Mirror amp Pas foto limited quantity Oct JAWA POS ARENA SBY Kalau ketemu sapa aja yaa Maafkan gabisa buat template bagus DAY _ RD_WORLDTOUR DAY _FOREVER_YOUNG_SURABAYA ,freebies forever young surabaya by hand mirror amp pas foto limited quantity oct jawa pos arena sby kalau ketemu sapa aja yaa maafkan gabisa buat template bagus day _ rd_worldtour day _forever_young_surabaya ,"['freebies', 'forever', 'young', 'surabaya', 'by', 'hand', 'mirror', 'amp', 'pas', 'foto', 'limited', 'quantity', 'oct', 'jawa', 'pos', 'arena', 'sby', 'kalau', 'ketemu', 'sapa', 'aja', 'yaa', 'maafkan', 'gabisa', 'buat', 'template', 'bagus', 'day', '_', 'rd_worldtour', 'day', '_forever_young_surabaya']","['freebies', 'forever', 'young', 'surabaya', 'by', 'hand', 'mirror', 'amp', 'pas', 'foto', 'limited', 'quantity', 'oct', 'jawa', 'pos', 'arena', 'surabaya', 'kalau', 'ketemu', 'sapa', 'saja', 'ya', 'maafkan', 'enggak bisa', 'buat', 'template', 'bagus', 'day', '_', 'rd_worldtour', 'day', '_forever_young_surabaya']","['freebies', 'forever', 'young', 'surabaya', 'by', 'hand', 'mirror', 'amp', 'pas', 'foto', 'limited', 'quantity', 'oct', 'jawa', 'pos', 'arena', 'surabaya', 'kalau', 'ketemu', 'sapa', 'saja', 'ya', 'maafkan', 'enggak bisa', 'buat', 'template', 'bagus', 'day', '_', 'rd_worldtour', 'day', '_forever_young_surabaya']","['freebies', 'forever', 'young', 'surabaya', 'by', 'hand', 'mirror', 'pas', 'foto', 'limited', 'quantity', 'oct', 'jawa', 'pos', 'arena', 'surabaya', 'ketemu', 'sapa', 'saja', 'maafkan', 'enggak bisa', 'template', 'bagus', 'day', '_', 'rd_worldtour', 'day', '_forever_young_surabaya']","['freebies', 'forever', 'young', 'surabaya', 'by', 'hand', 'mirror', 'pas', 'foto', 'limited', 'quantity', 'oct', 'jawa', 'pos', 'arena', 'surabaya', 'ketemu', 'sapa', 'saja', 'maaf', 'enggak bisa', 'template', 'bagus', 'day', '', 'rd worldtour', 'day', 'forever young surabaya']",freebies forever young surabaya by hand mirror pas foto limited quantity oct jawa pos arena surabaya ketemu sapa saja maaf enggak bisa template bagus day  rd worldtour day forever young surabaya,"Freebies Forever Young Surabaya by Hand Mirror Amp Pas Photo Limited Quantity Oct Jawa Pos Arena SBY If you just meet, forgive you, I can't make a good template day _ rd_worldtour days",0.24285714285714285,Positive
Jelang Konser di 3 Kota DAY6 Beri Pantun untuk My Day Indonesia https://t.co/W17K1sp0sK https://t.co/lFU5vT1ucB,1.83993572600964e+18,2024-09-28 07:50:36+00:00,kompascom,23343960.0,in,Jakarta,1,0,1,2,https://x.com/kompascom/status/1839935726009655768,['mecimapro'],0,kompascom,mecimapro,Jelang Konser di 3 Kota DAY6 Beri Pantun untuk My Day Indonesia https://t.co/W17K1sp0sK https://t.co/lFU5vT1ucB,Jelang Konser di Kota DAY Beri Pantun untuk My Day Indonesia ,jelang konser di kota day beri pantun untuk my day indonesia ,"['jelang', 'konser', 'di', 'kota', 'day', 'beri', 'pantun', 'untuk', 'my', 'day', 'indonesia']","['jelang', 'konser', 'di', 'kota', 'day', 'beri', 'pantun', 'untuk', 'my', 'day', 'indonesia']","['jelang', 'konser', 'di', 'kota', 'day', 'beri', 'pantun', 'untuk', 'my', 'day', 'indonesia']","['jelang', 'konser', 'kota', 'day', 'pantun', 'my', 'day', 'indonesia']","['jelang', 'konser', 'kota', 'day', 'pantun', 'my', 'day', 'indonesia']",jelang konser kota day pantun my day indonesia,"ahead of the concert in the city of Day, give rhymes for My Day Indonesia",0.0,Negative
@asaanamii Hai aku Sungjin dari Day6 yang bentar lagi bakalan konser ke Indonesia di 3kota ,1.83999318206461e+18,2024-09-28 11:38:54+00:00,Harutonih,1.71014362387732e+18,in,Royale Romain — Ziyana — 4NS0S,1,0,0,0,https://x.com/Harutonih/status/1839993182064611431,asaanamii,1,Harutonih,asaanamii, Hai aku Sungjin dari Day6 yang bentar lagi bakalan konser ke Indonesia di 3kota , Hai aku Sungjin dari Day yang bentar lagi bakalan konser ke Indonesia di kota , hai aku sungjin dari day yang bentar lagi bakalan konser ke indonesia di kota ,"['hai', 'aku', 'sungjin', 'dari', 'day', 'yang', 'bentar', 'lagi', 'bakalan', 'konser', 'ke', 'indonesia', 'di', 'kota']","['hai', 'aku', 'sungjin', 'dari', 'day', 'yang', 'bentar', 'lagi', 'bakalan', 'konser', 'ke', 'indonesia', 'di', 'kota']","['hai', 'aku', 'sungjin', 'dari', 'day', 'yang', 'bentar', 'lagi', 'bakalan', 'konser', 'ke', 'indonesia', 'di', 'kota']","['hai', 'sungjin', 'day', 'yang', 'bentar', 'konser', 'indonesia', 'kota']","['hai', 'sungjin', 'day', 'yang', 'bentar', 'konser', 'indonesia', 'kota']",hai sungjin day yang bentar konser indonesia kota,"Hi, I'm Sungjin from Day who will soon be a concert to Indonesia in the city",0.0,Negative
Tiket Konser di Tiga Kota di Indonesia Sold Out Member DAY6 Kasih Gombalan Maut Buat MYDAY https://t.co/rr4QGB3AsB,1.84003274269803e+18,2024-09-28 14:16:06+00:00,VIVAcoid,41730943.0,in,Indonesia,0,0,2,1,https://x.com/VIVAcoid/status/1840032742698037661,['mecimapro'],0,VIVAcoid,mecimapro,Tiket Konser di Tiga Kota di Indonesia Sold Out Member DAY6 Kasih Gombalan Maut Buat MYDAY https://t.co/rr4QGB3AsB,Tiket Konser di Tiga Kota di Indonesia Sold Out Member DAY Kasih Gombalan Maut Buat MYDAY ,tiket konser di tiga kota di indonesia sold out member day kasih gombalan maut buat myday ,"['tiket', 'konser', 'di', 'tiga', 'kota', 'di', 'indonesia', 'sold', 'out', 'member', 'day', 'kasih', 'gombalan', 'maut', 'buat', 'myday']","['tiket', 'konser', 'di', 'tiga', 'kota', 'di', 'indonesia', 'sold', 'out', 'member', 'day', 'kasih', 'gombalan', 'maut', 'buat', 'myday']","['tiket', 'konser', 'di', 'tiga', 'kota', 'di', 'indonesia', 'sold', 'out', 'member', 'day', 'kasih', 'gombalan', 'maut', 'buat', 'myday']","['tiket', 'konser', 'kota', 'indonesia', 'sold', 'out', 'member', 'day', 'kasih', 'gombalan', 'maut', 'myday']","['tiket', 'konser', 'kota', 'indonesia', 'sold', 'out', 'member', 'day', 'kasih', 'gombal', 'maut', 'myday']",tiket konser kota indonesia sold out member day kasih gombal maut myday,Concert tickets in three cities in Indonesia Sold Out Member Day Kasih Gombalan Death for MyDay,0.0,Negative
Hai hai yg dari denpasar adakah yg nonton konsernya day6 di nusa dua oktober nanti?? Sapa tau bisa barengan biar ada temen #day6_forever_young_indonesia #day6_forever_young_bali,1.84030374018593e+18,2024-09-29 08:12:57+00:00,_sDew6,121673361.0,in,"Denpasar, Bali",0,1,0,1,https://x.com/_sDew6/status/1840303740185940230,['mecimapro'],0,_sDew6,mecimapro,Hai hai yg dari denpasar adakah yg nonton konsernya day6 di nusa dua oktober nanti?? Sapa tau bisa barengan biar ada temen #day6_forever_young_indonesia #day6_forever_young_bali,Hai hai yg dari denpasar adakah yg nonton konsernya day di nusa dua oktober nanti Sapa tau bisa barengan biar ada temen day _forever_young_indonesia day _forever_young_bali,hai hai yg dari denpasar adakah yg nonton konsernya day di nusa dua oktober nanti sapa tau bisa barengan biar ada temen day _forever_young_indonesia day _forever_young_bali,"['hai', 'hai', 'yg', 'dari', 'denpasar', 'adakah', 'yg', 'nonton', 'konsernya', 'day', 'di', 'nusa', 'dua', 'oktober', 'nanti', 'sapa', 'tau', 'bisa', 'barengan', 'biar', 'ada', 'temen', 'day', '_forever_young_indonesia', 'day', '_forever_young_bali']","['hai', 'hai', 'yang', 'dari', 'denpasar', 'adakah', 'yang', 'menonton', 'konsernya', 'day', 'di', 'nusa', 'dua', 'oktober', 'nanti', 'sapa', 'tau', 'bisa', 'barengan', 'biar', 'ada', 'teman', 'day', '_forever_young_indonesia', 'day', '_forever_young_bali']","['hai', 'hai', 'yang', 'dari', 'denpasar', 'adakah', 'yang', 'menonton', 'konsernya', 'day', 'di', 'nusa', 'dua', 'oktober', 'nanti', 'sapa', 'tau', 'bisa', 'barengan', 'biar', 'ada', 'teman', 'day', '_forever_young_indonesia', 'day', '_forever_young_bali']","['hai', 'hai', 'yang', 'denpasar', 'adakah', 'yang', 'menonton', 'konsernya', 'day', 'nusa', 'oktober', 'sapa', 'tau', 'barengan', 'biar', 'teman', 'day', '_forever_young_indonesia', 'day', '_forever_young_bali']","['hai', 'hai', 'yang', 'denpasar', 'ada', 'yang', 'tonton', 'konser', 'day', 'nusa', 'oktober', 'sapa', 'tau', 'bareng', 'biar', 'teman', 'day', 'forever young indonesia', 'day', 'forever young bal']",hai hai yang denpasar ada yang tonton konser day nusa oktober sapa tau bareng biar teman day forever young indonesia day forever young bal,"hi hi who from Denpasar is the one who watched his concert day in Nusa two October, who knows, can be together so there is a friend day _Forever_young_Indonesia Day _Forever_young_Bali",0.0,Negative
